25.03.2016 09:57:32 : USB-Диск не найден!
25.03.2016 09:58:12 : Копируем c:\uarm3\stg\acp\acp00000001.dat в E:\CB_IN\a2506960_001.esd
25.03.2016 09:58:12 : Копируем c:\uarm3\stg\acp\acp00000002.dat в E:\CB_IN\a2506960_002.esd
25.03.2016 09:58:12 : Копируем c:\uarm3\stg\acp\acp00000003.dat в E:\CB_IN\a2506960_003.epd
25.03.2016 09:58:12 : Копируем c:\uarm3\stg\acp\acp00000004.dat в E:\CB_IN\a2506960_004.esd
25.03.2016 09:58:12 : Копируем c:\uarm3\stg\acp\acp00000005.dat в E:\CB_IN\a2506960_005.esd
25.03.2016 09:58:12 : Копируем c:\uarm3\stg\acp\acp00000006.dat в E:\CB_IN\a2506960_006.epd
25.03.2016 09:58:12 : Копируем c:\uarm3\stg\acp\acp00000007.dat в E:\CB_IN\a2506960_007.esd
25.03.2016 09:58:12 : Всего скопировано: 7 файлов.
25.03.2016 10:14:15 : Копируем c:\uarm3\stg\acp\acp00000008.dat в E:\CB_IN\a2506960_008.epd
25.03.2016 10:14:16 : Копируем c:\uarm3\stg\acp\acp00000009.dat в E:\CB_IN\a2506960_009.esd
25.03.2016 10:14:16 : Копируем c:\uarm3\stg\acp\acp00000010.dat в E:\CB_IN\a2506960_010.esd
25.03.2016 10:14:16 : Копируем c:\uarm3\stg\acp\acp00000011.dat в E:\CB_IN\a2506960_011.epd
25.03.2016 10:14:16 : Копируем c:\uarm3\stg\acp\acp00000012.dat в E:\CB_IN\a2506960_012.esd
25.03.2016 10:14:16 : Копируем c:\uarm3\stg\acp\acp00000013.dat в E:\CB_IN\a2506960_013.esd
25.03.2016 10:14:16 : Всего скопировано: 6 файлов.
25.03.2016 10:21:11 : Копируем c:\uarm3\stg\acp\acp00000014.dat в E:\CB_IN\a2506960_014.esd
25.03.2016 10:21:11 : Копируем c:\uarm3\stg\acp\acp00000015.dat в E:\CB_IN\a2506960_015.esd
25.03.2016 10:21:11 : Всего скопировано: 2 файлов.
25.03.2016 10:28:11 : Копируем c:\uarm3\stg\acp\acp00000016.dat в E:\CB_IN\a2506960_016.esd
25.03.2016 10:28:11 : Копируем c:\uarm3\stg\acp\acp00000017.dat в E:\CB_IN\a2506960_017.epd
25.03.2016 10:28:11 : Копируем c:\uarm3\stg\acp\acp00000018.dat в E:\CB_IN\a2506960_018.esd
25.03.2016 10:28:11 : Копируем c:\uarm3\stg\acp\acp00000019.dat в E:\CB_IN\a2506960_019.esd
25.03.2016 10:28:12 : Всего скопировано: 4 файлов.
25.03.2016 10:48:17 : Копируем c:\uarm3\stg\acp\acp00000020.dat в E:\CB_IN\a2506960_020.esd
25.03.2016 10:48:17 : Копируем c:\uarm3\stg\acp\acp00000021.dat в E:\CB_IN\a2506960_021.epd
25.03.2016 10:48:17 : Копируем c:\uarm3\stg\acp\acp00000022.dat в E:\CB_IN\a2506960_022.esd
25.03.2016 10:48:17 : Копируем c:\uarm3\stg\acp\acp00000023.dat в E:\CB_IN\a2506960_023.esd
25.03.2016 10:48:18 : Всего скопировано: 4 файлов.
25.03.2016 11:41:21 : Копируем c:\uarm3\stg\acp\acp00000024.dat в E:\CB_IN\a2506960_024.esd
25.03.2016 11:41:21 : Копируем c:\uarm3\stg\acp\acp00000025.dat в E:\CB_IN\a2506960_025.epd
25.03.2016 11:41:21 : Копируем c:\uarm3\stg\acp\acp00000026.dat в E:\CB_IN\a2506960_026.epd
25.03.2016 11:41:21 : Копируем c:\uarm3\stg\acp\acp00000027.dat в E:\CB_IN\a2506960_027.esd
25.03.2016 11:41:21 : Копируем c:\uarm3\stg\acp\acp00000028.dat в E:\CB_IN\a2506960_028.epd
