
Name                           Value                                                                                                                                                                                                                 
----                           -----                                                                                                                                                                                                                 
002                            230415                                                                                                                                                                                                                
002_count                      5                                                                                                                                                                                                                     
011                            14766843,55                                                                                                                                                                                                           
011_count                      1005                                                                                                                                                                                                                  
012                            222420,77                                                                                                                                                                                                             
012_count                      42                                                                                                                                                                                                                    
013                            239171,85                                                                                                                                                                                                             
013_count                      17                                                                                                                                                                                                                    
014                            20833,7                                                                                                                                                                                                               
014_count                      2                                                                                                                                                                                                                     
015                            42750                                                                                                                                                                                                                 
015_count                      4                                                                                                                                                                                                                     
032                            1467675,86                                                                                                                                                                                                            
032_count                      57                                                                                                                                                                                                                    


